Time (Seconds),Amplitude (Volts),,Time (Seconds)
301,-0.04117114,,
302,0.020197887,,
303,0.08502197,,
304,0.12664758,,
305,0.1572498,,
306,0.16958939,,
307,0.07547934,,
308,-0.070457175,,
309,-0.13445869,,
310,-0.118828505,,
311,-0.04890397,,
312,0.014439399,,
313,0.0641269,,
314,0.09209668,,
315,0.13948077,,
316,0.14737812,,
317,0.03961221,,
318,-0.12540963,,
319,-0.19105648,,
320,-0.19155006,,
321,-0.13577493,,
322,-0.0653568,,
323,-0.021921335,,
324,0.019539773,,
325,0.032866556,,
326,0.026614485,,
327,-0.07012812,,
328,-0.22560745,,
329,-0.2876347,,
330,-0.23811162,,
331,-0.13363606,,
332,-0.07210246,,
333,-0.007278323,,
334,0.053597104,,
335,0.044383526,,
336,0.016084682,,
337,-0.07276057,,
338,-0.22494933,,
339,-0.29191247,,
340,-0.22741726,,
341,-0.13231982,,
342,-0.087897174,,
343,-0.013530396,,
344,0.06429143,,
345,0.075643875,,
346,0.072682366,,
347,0.004896764,,
348,-0.13182624,,
349,-0.2305433,,
350,-0.20059912,,
351,-0.13593945,,
352,-0.10369189,,
353,-0.05926925,,
354,-0.011885113,,
355,0.000454503,,
356,0.01526204,,
357,-0.07670925,,
358,-0.21639386,,
359,-0.2748015,,
360,-0.23712444,,
361,-0.13067454,,
362,-0.053017177,,
363,-0.005633041,,
364,0.036650702,,
365,0.066594824,,
366,0.07383406,,
367,-0.04215831,,
368,-0.16539003,,
369,-0.2206716,,
370,-0.21869725,,
371,-0.14745644,,
372,-0.06568585,,
373,-0.022908505,,
374,-0.002507005,,
375,0.03878957,,
376,0.049648426,,
377,-0.06864736,,
378,-0.2321886,,
379,-0.30277133,,
380,-0.2726626,,
381,-0.19023383,,
382,-0.12771304,,
383,-0.059433777,,
384,0.013123174,,
385,0.029575992,,
386,0.017400907,,
387,-0.07967076,,
388,-0.24222483,,
389,-0.3111623,,
390,-0.27348524,,
391,-0.21047083,,
392,-0.18858854,,
393,-0.109285854,,
394,-0.03639982,,
395,-0.011227001,,
396,-0.03080586,,
397,-0.09431378,,
398,-0.22017801,,
399,-0.29997435,,
400,-0.25670335,,
401,-0.16127683,,
402,-0.11849944,,
403,-0.07012812,,
404,-0.012378698,,
405,-0.023237562,,
406,-0.052852646,,
407,-0.19368893,,
408,-0.3498265,,
409,-0.38766813,,
410,-0.32695705,,
411,-0.23992144,,
412,-0.1935244,,
413,-0.15584739,,
414,-0.102375664,,
415,-0.09628812,,
416,-0.108792275,,
417,-0.2386052,,
418,-0.3835549,,
419,-0.4258388,,
420,-0.40165308,,
421,-0.31609815,,
422,-0.25670335,,
423,-0.21326782,,
424,-0.15749267,,
425,-0.112411894,,
426,-0.10665341,,
427,-0.24831238,,
428,-0.3789481,,
429,-0.42386445,,
430,-0.40445006,,
431,-0.3106687,,
432,-0.22182329,,
433,-0.17114852,,
434,-0.15222776,,
435,-0.12837115,,
436,-0.14350776,,
437,-0.27068827,,
438,-0.42090294,,
439,-0.46861628,,
440,-0.4246871,,
441,-0.3480167,,
442,-0.31214947,,
443,-0.24387011,,
444,-0.19895384,,
445,-0.19500515,,
446,-0.21557121,,
447,-0.3203759,,
448,-0.48210764,,
449,-0.5467675,,
450,-0.49856052,,
451,-0.41629612,,
452,-0.35459787,,
453,-0.26854938,,
454,-0.20257346,,
455,-0.20454781,,
456,-0.2259365,,
457,-0.32070497,,
458,-0.4748684,,
459,-0.5324535,,
460,-0.48046237,,
461,-0.39622363,,
462,-0.3480167,,
463,-0.266246,,
464,-0.20866102,,
465,-0.19500515,,
466,-0.20454781,,
467,-0.31609815,,
468,-0.44755659,,
469,-0.47750083,,
470,-0.438343,,
471,-0.36611485,,
472,-0.31741437,,
473,-0.29010263,,
474,-0.28269884,,
475,-0.27364978,,
476,-0.27907923,,
477,-0.4167897,,
478,-0.54067993,,
479,-0.5592717,,
480,-0.5286693,,
481,-0.42830673,,
482,-0.33649972,,
483,-0.27463695,,
484,-0.23630181,,
485,-0.20899007,,
486,-0.22363311,,
487,-0.35607862,,
488,-0.48967597,,
489,-0.5214301,,
490,-0.481285,,
491,-0.42435804,,
492,-0.37631565,,
493,-0.3141238,,
494,-0.26015845,,
495,-0.23465651,,
496,-0.24090861,,
497,-0.35624313,,
498,-0.5153425,,
499,-0.57736987,,
500,-0.5255433,,
501,-0.4413045,,
502,-0.38849077,,
503,-0.3180725,,
504,-0.27364978,,
505,-0.28253433,,
506,-0.3128076,,
507,-0.41004404,,
508,-0.5732567,,
509,-0.6204765,,
510,-0.53640217,,
511,-0.45134076,,
512,-0.42550975,,
513,-0.37236696,,
514,-0.33732235,,
515,-0.31264305,,
516,-0.30392304,,
517,-0.4047791,,
518,-0.521101,,
519,-0.5418316,,
520,-0.4538087,,
521,-0.33649972,,
522,-0.24535087,,
523,-0.15584739,,
524,-0.099414155,,
525,-0.059762836,,
526,-0.04380359,,
527,-0.14860813,,
528,-0.2599939,,
529,-0.27990186,,
530,-0.21474858,,
531,-0.08904887,,
532,0.014603928,,
533,0.086667255,,
534,0.13388681,,
535,0.19821726,,
536,0.2314519,,
537,0.106575154,,
538,0.010655251,,
539,0.007035631,,
540,0.057874836,,
541,0.17074108,,
542,0.2515243,,
543,0.30038908,,
544,0.35978362,,
545,0.42674643,,
546,0.4384279,,
547,0.31486753,,
548,0.20595008,,
549,0.19163615,,
550,0.2567892,,
551,0.35501233,,
552,0.42575926,,
553,0.50835216,,
554,0.5572168,,
555,0.56412697,,
556,0.54323196,,
557,0.45438707,,
558,0.2928208,,
559,0.25695375,,
560,0.35534137,,
561,0.42806265,,
562,0.45537424,,
563,0.5328668,,
564,0.5636334,,
565,0.5486614,,
566,0.5246404,,
567,0.42329133,,
568,0.24938545,,
569,0.21055686,,
570,0.2957823,,
571,0.39005673,,
572,0.4265819,,
573,0.5099974,,
574,0.5710372,,
575,0.5904514,,
576,0.5628108,,
577,0.4463252,,
578,0.3175,,
579,0.2934789,,
580,0.34102747,,
581,0.42641735,,
582,0.4854828,,
583,0.5378026,,
584,0.5802507,,
585,0.6190792,,
586,0.60295546,,
587,0.46179083,,
588,0.3602772,,
589,0.35089913,,
590,0.40190274,,
591,0.49584803,,
592,0.56034285,,
593,0.5820605,,
