Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,,Time (Seconds),,,,Amplitude (Volts) [Filtered 0.3-10.0Hz]
1.876,0.036799451,,,,,22243,,,,-0.036799451
1.878,0.04008236,,,,,22244,,,,-0.04008236
1.88,0.043621571,,,,,22245,,,,-0.043621571
1.882,0.047423101,,,,,22246,,,,-0.047423101
1.884,0.051492218,,,,,22247,,,,-0.051492218
1.886,0.05583295,,,,,22248,,,,-0.05583295
1.888,0.060447384,,,,,22249,,,,-0.060447384
1.89,0.06533484,,,,,22250,,,,-0.06533484
1.892,0.070490975,,,,,22251,,,,-0.070490975
1.894,0.075906586,,,,,22252,,,,-0.075906586
1.896,0.081566201,,,,,22253,,,,-0.081566201
1.898,0.087447169,,,,,22254,,,,-0.087447169
1.9,0.093519864,,,,,22255,,,,-0.093519864
1.902,0.099748992,,,,,22256,,,,-0.099748992
1.904,0.106095507,,,,,22257,,,,-0.106095507
1.906,0.112518429,,,,,22258,,,,-0.112518429
1.908,0.118976279,,,,,22259,,,,-0.118976279
1.91,0.125428416,,,,,22260,,,,-0.125428416
1.912,0.13183634,,,,,22261,,,,-0.13183634
1.914,0.138164304,,,,,22262,,,,-0.138164304
1.916,0.144379071,,,,,22263,,,,-0.144379071
1.918,0.150449814,,,,,22264,,,,-0.150449814
1.92,0.156348644,,,,,22265,,,,-0.156348644
1.922,0.162051228,,,,,22266,,,,-0.162051228
1.924,0.167537023,,,,,22267,,,,-0.167537023
1.926,0.172789219,,,,,22268,,,,-0.172789219
1.928,0.177794417,,,,,22269,,,,-0.177794417
1.93,0.182542164,,,,,22270,,,,-0.182542164
1.932,0.187024593,,,,,22271,,,,-0.187024593
1.934,0.191236133,,,,,22272,,,,-0.191236133
1.936,0.195173293,,,,,22273,,,,-0.195173293
1.938,0.198834875,,,,,22274,,,,-0.198834875
1.94,0.202222466,,,,,22275,,,,-0.202222466
1.942,0.205340817,,,,,22276,,,,-0.205340817
1.944,0.208198008,,,,,22277,,,,-0.208198008
1.946,0.210805238,,,,,22278,,,,-0.210805238
1.948,0.213175949,,,,,22279,,,,-0.213175949
1.95,0.215324677,,,,,22280,,,,-0.215324677
1.952,0.217266599,,,,,22281,,,,-0.217266599
1.954,0.219017686,,,,,22282,,,,-0.219017686
1.956,0.220594339,,,,,22283,,,,-0.220594339
1.958,0.222012278,,,,,22284,,,,-0.222012278
1.96,0.223285604,,,,,22285,,,,-0.223285604
1.962,0.224426403,,,,,22286,,,,-0.224426403
1.964,0.225444418,,,,,22287,,,,-0.225444418
1.966,0.226346873,,,,,22288,,,,-0.226346873
1.968,0.227138794,,,,,22289,,,,-0.227138794
1.97,0.227823617,,,,,22290,,,,-0.227823617
1.972,0.228403748,,,,,22291,,,,-0.228403748
1.974,0.228881053,,,,,22292,,,,-0.228881053
1.976,0.229257252,,,,,22293,,,,-0.229257252
1.978,0.229534224,,,,,22294,,,,-0.229534224
1.98,0.229714517,,,,,22295,,,,-0.229714517
1.982,0.229802244,,,,,22296,,,,-0.229802244
1.984,0.229803781,,,,,22297,,,,-0.229803781
1.986,0.229727935,,,,,22298,,,,-0.229727935
1.988,0.229585873,,,,,22299,,,,-0.229585873
1.99,0.229390763,,,,,22300,,,,-0.229390763
1.992,0.229156894,,,,,22301,,,,-0.229156894
1.994,0.228898629,,,,,22302,,,,-0.228898629
1.996,0.22862944,,,,,22303,,,,-0.22862944
1.998,0.228360889,,,,,22304,,,,-0.228360889
2,0.22810185,,,,,22305,,,,-0.22810185
2.002,0.22785843,,,,,22306,,,,-0.22785843
2.004,0.227634501,,,,,22307,,,,-0.227634501
2.006,0.227432261,,,,,22308,,,,-0.227432261
2.008,0.227252241,,,,,22309,,,,-0.227252241
2.01,0.227092755,,,,,22310,,,,-0.227092755
2.012,0.22694937,,,,,22311,,,,-0.22694937
2.014,0.226815044,,,,,22312,,,,-0.226815044
2.016,0.226681003,,,,,22313,,,,-0.226681003
2.018,0.226537966,,,,,22314,,,,-0.226537966
2.02,0.226376976,,,,,22315,,,,-0.226376976
2.022,0.226189313,,,,,22316,,,,-0.226189313
2.024,0.225965804,,,,,22317,,,,-0.225965804
2.026,0.225696072,,,,,22318,,,,-0.225696072
2.028,0.225368011,,,,,22319,,,,-0.225368011
2.03,0.224967771,,,,,22320,,,,-0.224967771
2.032,0.224480253,,,,,22321,,,,-0.224480253
2.034,0.223889626,,,,,22322,,,,-0.223889626
2.036,0.223179768,,,,,22323,,,,-0.223179768
2.038,0.222334895,,,,,22324,,,,-0.222334895
2.04,0.221340359,,,,,22325,,,,-0.221340359
2.042,0.220183486,,,,,22326,,,,-0.220183486
2.044,0.218854384,,,,,22327,,,,-0.218854384
2.046,0.217346211,,,,,22328,,,,-0.217346211
2.048,0.215654696,,,,,22329,,,,-0.215654696
2.05,0.213777974,,,,,22330,,,,-0.213777974
2.052,0.211717586,,,,,22331,,,,-0.211717586
2.054,0.209479737,,,,,22332,,,,-0.209479737
2.056,0.207075282,,,,,22333,,,,-0.207075282
2.058,0.20451835,,,,,22334,,,,-0.20451835
2.06,0.201824661,,,,,22335,,,,-0.201824661
2.062,0.19900998,,,,,22336,,,,-0.19900998
2.064,0.196088474,,,,,22337,,,,-0.196088474
2.066,0.193071125,,,,,22338,,,,-0.193071125
2.068,0.18996484,,,,,22339,,,,-0.18996484
2.07,0.186772578,,,,,22340,,,,-0.186772578
2.072,0.183494281,,,,,22341,,,,-0.183494281
2.074,0.180128057,,,,,22342,,,,-0.180128057
2.076,0.176671225,,,,,22343,,,,-0.176671225
2.078,0.173121205,,,,,22344,,,,-0.173121205
2.08,0.169476394,,,,,22345,,,,-0.169476394
2.082,0.165736909,,,,,22346,,,,-0.165736909
2.084,0.161905093,,,,,22347,,,,-0.161905093
2.086,0.157985995,,,,,22348,,,,-0.157985995
2.088,0.153987725,,,,,22349,,,,-0.153987725
2.09,0.149921048,,,,,22350,,,,-0.149921048
2.092,0.145798511,,,,,22351,,,,-0.145798511
2.094,0.141634089,,,,,22352,,,,-0.141634089
2.096,0.137443231,,,,,22353,,,,-0.137443231
2.098,0.133242464,,,,,22354,,,,-0.133242464
2.1,0.129048817,,,,,22355,,,,-0.129048817
2.102,0.124879711,,,,,22356,,,,-0.124879711
2.104,0.120752951,,,,,22357,,,,-0.120752951
2.106,0.116686237,,,,,22358,,,,-0.116686237
2.108,0.11269611,,,,,22359,,,,-0.11269611
2.11,0.108796878,,,,,22360,,,,-0.108796878
2.112,0.105000221,,,,,22361,,,,-0.105000221
2.114,0.101315416,,,,,22362,,,,-0.101315416
2.116,0.097749377,,,,,22363,,,,-0.097749377
2.118,0.094306297,,,,,22364,,,,-0.094306297
2.12,0.09098748,,,,,22365,,,,-0.09098748
2.122,0.08779178,,,,,22366,,,,-0.08779178
2.124,0.084716502,,,,,22367,,,,-0.084716502
2.126,0.081758136,,,,,22368,,,,-0.081758136
2.128,0.078912313,,,,,22369,,,,-0.078912313
2.13,0.076173262,,,,,22370,,,,-0.076173262
2.132,0.07353366,,,,,22371,,,,-0.07353366
2.134,0.070984868,,,,,22372,,,,-0.070984868
2.136,0.068516995,,,,,22373,,,,-0.068516995
2.138,0.066118666,,,,,22374,,,,-0.066118666
2.14,0.063776698,,,,,22375,,,,-0.063776698
2.142,0.0614758,,,,,22376,,,,-0.0614758
2.144,0.05919867,,,,,22377,,,,-0.05919867
2.146,0.056926691,,,,,22378,,,,-0.056926691
2.148,0.054640945,,,,,22379,,,,-0.054640945
2.15,0.052323304,,,,,22380,,,,-0.052323304
2.152,0.049957737,,,,,22381,,,,-0.049957737
2.154,0.047531849,,,,,22382,,,,-0.047531849
2.156,0.045038323,,,,,22383,,,,-0.045038323
2.158,0.04247564,,,,,22384,,,,-0.04247564
2.16,0.039847647,,,,,22385,,,,-0.039847647
2.162,0.037162524,,,,,22386,,,,-0.037162524
2.164,0.034432161,,,,,22387,,,,-0.034432161
2.166,0.031672062,,,,,22388,,,,-0.031672062
2.168,0.028900971,,,,,22389,,,,-0.028900971
2.17,0.026139761,,,,,22390,,,,-0.026139761
2.172,0.023409949,,,,,22391,,,,-0.023409949
2.174,0.020732396,,,,,22392,,,,-0.020732396
2.176,0.018126443,,,,,22393,,,,-0.018126443
2.178,0.015609295,,,,,22394,,,,-0.015609295
2.18,0.013195522,,,,,22395,,,,-0.013195522
2.182,0.010896716,,,,,22396,,,,-0.010896716
2.184,0.008721353,,,,,22397,,,,-0.008721353
2.186,0.006675018,,,,,22398,,,,-0.006675018
2.188,0.004761071,,,,,22399,,,,-0.004761071
2.19,0.002981121,,,,,22400,,,,-0.002981121
2.192,0.001334795,,,,,22401,,,,-0.001334795
2.194,-0.000180839,,,,,22402,,,,0.000180839
2.196,-0.001571643,,,,,22403,,,,0.001571643
2.198,-0.002846326,,,,,22404,,,,0.002846326
2.2,-0.0040159,,,,,22405,,,,0.0040159
2.202,-0.005093129,,,,,22406,,,,0.005093129
2.204,-0.006092363,,,,,22407,,,,0.006092363
2.206,-0.007029526,,,,,22408,,,,0.007029526
2.208,-0.007921929,,,,,22409,,,,0.007921929
2.21,-0.008787901,,,,,22410,,,,0.008787901
2.212,-0.009646428,,,,,22411,,,,0.009646428
2.214,-0.010516556,,,,,22412,,,,0.010516556
2.216,-0.01141636,,,,,22413,,,,0.01141636
2.218,-0.012361822,,,,,22414,,,,0.012361822
2.22,-0.013365849,,,,,22415,,,,0.013365849
2.222,-0.014437401,,,,,22416,,,,0.014437401
2.224,-0.015581132,,,,,22417,,,,0.015581132
2.226,-0.016797648,,,,,22418,,,,0.016797648
2.228,-0.01808373,,,,,22419,,,,0.01808373
2.23,-0.019432405,,,,,22420,,,,0.019432405
2.232,-0.020833362,,,,,22421,,,,0.020833362
2.234,-0.022273659,,,,,22422,,,,0.022273659
2.236,-0.023738253,,,,,22423,,,,0.023738253
2.238,-0.025210369,,,,,22424,,,,0.025210369
2.24,-0.026671853,,,,,22425,,,,0.026671853
2.242,-0.028103753,,,,,22426,,,,0.028103753
2.244,-0.029487359,,,,,22427,,,,0.029487359
2.246,-0.030805584,,,,,22428,,,,0.030805584
2.248,-0.032044277,,,,,22429,,,,0.032044277
2.25,-0.033193138,,,,,22430,,,,0.033193138
2.252,-0.034245913,,,,,22431,,,,0.034245913
2.254,-0.035199989,,,,,22432,,,,0.035199989
2.256,-0.036055856,,,,,22433,,,,0.036055856
2.258,-0.036816485,,,,,22434,,,,0.036816485
2.26,-0.037486572,,,,,22435,,,,0.037486572
2.262,-0.038071916,,,,,22436,,,,0.038071916
2.264,-0.038579037,,,,,22437,,,,0.038579037
2.266,-0.039015119,,,,,22438,,,,0.039015119
2.268,-0.039388555,,,,,22439,,,,0.039388555
2.27,-0.0397098,,,,,22440,,,,0.0397098
2.272,-0.039991936,,,,,22441,,,,0.039991936
2.274,-0.040250794,,,,,22442,,,,0.040250794
2.276,-0.0405045,,,,,22443,,,,0.0405045
2.278,-0.040772466,,,,,22444,,,,0.040772466
2.28,-0.041074347,,,,,22445,,,,0.041074347
2.282,-0.041429177,,,,,22446,,,,0.041429177
2.284,-0.041854413,,,,,22447,,,,0.041854413
2.286,-0.042364676,,,,,22448,,,,0.042364676
2.288,-0.042970789,,,,,22449,,,,0.042970789
2.29,-0.043679791,,,,,22450,,,,0.043679791
2.292,-0.044495423,,,,,22451,,,,0.044495423
2.294,-0.045417983,,,,,22452,,,,0.045417983
2.296,-0.046443398,,,,,22453,,,,0.046443398
2.298,-0.047562512,,,,,22454,,,,0.047562512
2.3,-0.048761675,,,,,22455,,,,0.048761675
2.302,-0.050024413,,,,,22456,,,,0.050024413
2.304,-0.051332927,,,,,22457,,,,0.051332927
2.306,-0.052668962,,,,,22458,,,,0.052668962
2.308,-0.054014725,,,,,22459,,,,0.054014725
2.31,-0.055354257,,,,,22460,,,,0.055354257
2.312,-0.056674606,,,,,22461,,,,0.056674606
2.314,-0.057966106,,,,,22462,,,,0.057966106
2.316,-0.059221872,,,,,22463,,,,0.059221872
2.318,-0.060436955,,,,,22464,,,,0.060436955
2.32,-0.061607541,,,,,22465,,,,0.061607541
2.322,-0.062730627,,,,,22466,,,,0.062730627
2.324,-0.063804115,,,,,22467,,,,0.063804115
2.326,-0.064826762,,,,,22468,,,,0.064826762
2.328,-0.065797871,,,,,22469,,,,0.065797871
2.33,-0.066717057,,,,,22470,,,,0.066717057
2.332,-0.067584371,,,,,22471,,,,0.067584371
2.334,-0.068400518,,,,,22472,,,,0.068400518
2.336,-0.069166709,,,,,22473,,,,0.069166709
2.338,-0.06988429,,,,,22474,,,,0.06988429
2.34,-0.070554622,,,,,22475,,,,0.070554622
2.342,-0.071179067,,,,,22476,,,,0.071179067
2.344,-0.071758628,,,,,22477,,,,0.071758628
2.346,-0.0722933,,,,,22478,,,,0.0722933
2.348,-0.072781611,,,,,22479,,,,0.072781611
2.35,-0.073220797,,,,,22480,,,,0.073220797
2.352,-0.073607613,,,,,22481,,,,0.073607613
2.354,-0.073939316,,,,,22482,,,,0.073939316
2.356,-0.074214284,,,,,22483,,,,0.074214284
2.358,-0.07443228,,,,,22484,,,,0.07443228
2.36,-0.074594697,,,,,22485,,,,0.074594697
2.362,-0.074704724,,,,,22486,,,,0.074704724
2.364,-0.074767032,,,,,22487,,,,0.074767032
2.366,-0.074787036,,,,,22488,,,,0.074787036
2.368,-0.07477025,,,,,22489,,,,0.07477025
2.37,-0.074722069,,,,,22490,,,,0.074722069
2.372,-0.074647804,,,,,22491,,,,0.074647804
2.374,-0.074552685,,,,,22492,,,,0.074552685
2.376,-0.074441851,,,,,22493,,,,0.074441851
2.378,-0.074320516,,,,,22494,,,,0.074320516
2.38,-0.074194515,,,,,22495,,,,0.074194515
2.382,-0.074071104,,,,,22496,,,,0.074071104
2.384,-0.073959597,,,,,22497,,,,0.073959597
2.386,-0.073871709,,,,,22498,,,,0.073871709
2.388,-0.073821626,,,,,22499,,,,0.073821626
2.39,-0.073825455,,,,,22500,,,,0.073825455
2.392,-0.073900037,,,,,22501,,,,0.073900037
2.394,-0.074061492,,,,,22502,,,,0.074061492
2.396,-0.074323595,,,,,22503,,,,0.074323595
2.398,-0.074696177,,,,,22504,,,,0.074696177
2.4,-0.075184269,,,,,22505,,,,0.075184269
2.402,-0.075788359,,,,,22506,,,,0.075788359
2.404,-0.076505133,,,,,22507,,,,0.076505133
2.406,-0.077327983,,,,,22508,,,,0.077327983
2.408,-0.078247368,,,,,22509,,,,0.078247368
2.41,-0.079251471,,,,,22510,,,,0.079251471
2.412,-0.080327109,,,,,22511,,,,0.080327109
2.414,-0.081460475,,,,,22512,,,,0.081460475
2.416,-0.082637413,,,,,22513,,,,0.082637413
2.418,-0.083843429,,,,,22514,,,,0.083843429
2.42,-0.085063892,,,,,22515,,,,0.085063892
2.422,-0.086284474,,,,,22516,,,,0.086284474
2.424,-0.087491492,,,,,22517,,,,0.087491492
2.426,-0.088672031,,,,,22518,,,,0.088672031
2.428,-0.089814224,,,,,22519,,,,0.089814224
2.43,-0.090907643,,,,,22520,,,,0.090907643
2.432,-0.091943399,,,,,22521,,,,0.091943399
2.434,-0.092914115,,,,,22522,,,,0.092914115
2.436,-0.093814189,,,,,22523,,,,0.093814189
2.438,-0.094640006,,,,,22524,,,,0.094640006
2.44,-0.095389753,,,,,22525,,,,0.095389753
2.442,-0.096063116,,,,,22526,,,,0.096063116
2.444,-0.096661236,,,,,22527,,,,0.096661236
2.446,-0.097187074,,,,,22528,,,,0.097187074
2.448,-0.097645905,,,,,22529,,,,0.097645905
2.45,-0.098045552,,,,,22530,,,,0.098045552
2.452,-0.098396411,,,,,22531,,,,0.098396411
2.454,-0.098711508,,,,,22532,,,,0.098711508
2.456,-0.099006231,,,,,22533,,,,0.099006231
2.458,-0.099297426,,,,,22534,,,,0.099297426
2.46,-0.099602079,,,,,22535,,,,0.099602079
2.462,-0.099935846,,,,,22536,,,,0.099935846
2.464,-0.100311733,,,,,22537,,,,0.100311733
2.466,-0.100739339,,,,,22538,,,,0.100739339
2.468,-0.101224676,,,,,22539,,,,0.101224676
2.47,-0.101770001,,,,,22540,,,,0.101770001
2.472,-0.102373474,,,,,22541,,,,0.102373474
2.474,-0.103029003,,,,,22542,,,,0.103029003
2.476,-0.103726522,,,,,22543,,,,0.103726522
2.478,-0.104452337,,,,,22544,,,,0.104452337
2.48,-0.105189331,,,,,22545,,,,0.105189331
2.482,-0.10591745,,,,,22546,,,,0.10591745
2.484,-0.106614883,,,,,22547,,,,0.106614883
2.486,-0.107259691,,,,,22548,,,,0.107259691
2.488,-0.107831209,,,,,22549,,,,0.107831209
2.49,-0.108310445,,,,,22550,,,,0.108310445
2.492,-0.10867948,,,,,22551,,,,0.10867948
2.494,-0.108920973,,,,,22552,,,,0.108920973
2.496,-0.109018389,,,,,22553,,,,0.109018389
2.498,-0.108956552,,,,,22554,,,,0.108956552
2.5,-0.108722141,,,,,22555,,,,0.108722141
2.502,-0.108303957,,,,,22556,,,,0.108303957
2.504,-0.107692855,,,,,22557,,,,0.107692855
2.506,-0.106881411,,,,,22558,,,,0.106881411
2.508,-0.10586344,,,,,22559,,,,0.10586344
2.51,-0.10463352,,,,,22560,,,,0.10463352
2.512,-0.103186874,,,,,22561,,,,0.103186874
2.514,-0.101519583,,,,,22562,,,,0.101519583
2.516,-0.099628632,,,,,22563,,,,0.099628632
2.518,-0.097511678,,,,,22564,,,,0.097511678
2.52,-0.095166754,,,,,22565,,,,0.095166754
2.522,-0.092592088,,,,,22566,,,,0.092592088
2.524,-0.089786045,,,,,22567,,,,0.089786045
2.526,-0.086747004,,,,,22568,,,,0.086747004
2.528,-0.083473041,,,,,22569,,,,0.083473041
2.53,-0.079961505,,,,,22570,,,,0.079961505
2.532,-0.076208703,,,,,22571,,,,0.076208703
2.534,-0.072209877,,,,,22572,,,,0.072209877
2.536,-0.067959055,,,,,22573,,,,0.067959055
2.538,-0.063448549,,,,,22574,,,,0.063448549
2.54,-0.058668677,,,,,22575,,,,0.058668677
2.542,-0.053608288,,,,,22576,,,,0.053608288
2.544,-0.048256096,,,,,22577,,,,0.048256096
2.546,-0.042602421,,,,,22578,,,,0.042602421
2.548,-0.036640967,,,,,22579,,,,0.036640967
2.55,-0.03037065,,,,,22580,,,,0.03037065
2.552,-0.023797388,,,,,22581,,,,0.023797388
2.554,-0.016935327,,,,,22582,,,,0.016935327
2.556,-0.009807012,,,,,22583,,,,0.009807012
2.558,-0.002442501,,,,,22584,,,,0.002442501
2.56,0.005122205,,,,,22585,,,,-0.005122205
2.562,0.012846675,,,,,22586,,,,-0.012846675
2.564,0.02068716,,,,,22587,,,,-0.02068716
2.566,0.028597749,,,,,22588,,,,-0.028597749
2.568,0.036531942,,,,,22589,,,,-0.036531942
2.57,0.044444237,,,,,22590,,,,-0.044444237
2.572,0.052291216,,,,,22591,,,,-0.052291216
2.574,0.060031909,,,,,22592,,,,-0.060031909
2.576,0.067627611,,,,,22593,,,,-0.067627611
2.578,0.075041664,,,,,22594,,,,-0.075041664
2.58,0.082239577,,,,,22595,,,,-0.082239577
2.582,0.08918956,,,,,22596,,,,-0.08918956
2.584,0.095863319,,,,,22597,,,,-0.095863319
2.586,0.102236598,,,,,22598,,,,-0.102236598
2.588,0.108289218,,,,,22599,,,,-0.108289218
2.59,0.114004946,,,,,22600,,,,-0.114004946
2.592,0.119371386,,,,,22601,,,,-0.119371386
2.594,0.12437968,,,,,22602,,,,-0.12437968
2.596,0.129023988,,,,,22603,,,,-0.129023988
2.598,0.133301054,,,,,22604,,,,-0.133301054
2.6,0.137210208,,,,,22605,,,,-0.137210208
2.602,0.140753838,,,,,22606,,,,-0.140753838
2.604,0.14393779,,,,,22607,,,,-0.14393779
2.606,0.146771055,,,,,22608,,,,-0.146771055
2.608,0.149264935,,,,,22609,,,,-0.149264935
2.61,0.151432654,,,,,22610,,,,-0.151432654
2.612,0.153289613,,,,,22611,,,,-0.153289613
2.614,0.15485341,,,,,22612,,,,-0.15485341
2.616,0.156143174,,,,,22613,,,,-0.156143174
2.618,0.157178708,,,,,22614,,,,-0.157178708
2.62,0.157979961,,,,,22615,,,,-0.157979961
2.622,0.158566702,,,,,22616,,,,-0.158566702
2.624,0.158958077,,,,,22617,,,,-0.158958077
2.626,0.159171835,,,,,22618,,,,-0.159171835
2.628,0.159223204,,,,,22619,,,,-0.159223204
2.63,0.159123784,,,,,22620,,,,-0.159123784
2.632,0.158880918,,,,,22621,,,,-0.158880918
2.634,0.15849786,,,,,22622,,,,-0.15849786
2.636,0.157974806,,,,,22623,,,,-0.157974806
2.638,0.157310413,,,,,22624,,,,-0.157310413
2.64,0.156503327,,,,,22625,,,,-0.156503327
2.642,0.155553507,,,,,22626,,,,-0.155553507
2.644,0.154463194,,,,,22627,,,,-0.154463194
2.646,0.153237166,,,,,22628,,,,-0.153237166
2.648,0.151882261,,,,,22629,,,,-0.151882261
2.65,0.150406833,,,,,22630,,,,-0.150406833
2.652,0.148820821,,,,,22631,,,,-0.148820821
2.654,0.147136154,,,,,22632,,,,-0.147136154
2.656,0.145366725,,,,,22633,,,,-0.145366725
2.658,0.143527726,,,,,22634,,,,-0.143527726
2.66,0.14163471,,,,,22635,,,,-0.14163471
2.662,0.139702961,,,,,22636,,,,-0.139702961
2.664,0.137747387,,,,,22637,,,,-0.137747387
2.666,0.135782404,,,,,22638,,,,-0.135782404
2.668,0.13382134,,,,,22639,,,,-0.13382134
2.67,0.131875722,,,,,22640,,,,-0.131875722
2.672,0.129955062,,,,,22641,,,,-0.129955062
2.674,0.128067294,,,,,22642,,,,-0.128067294
2.676,0.126219496,,,,,22643,,,,-0.126219496
2.678,0.124418303,,,,,22644,,,,-0.124418303
2.68,0.122669795,,,,,22645,,,,-0.122669795
2.682,0.120979033,,,,,22646,,,,-0.120979033
2.684,0.119349374,,,,,22647,,,,-0.119349374
2.686,0.117781715,,,,,22648,,,,-0.117781715
2.688,0.116273935,,,,,22649,,,,-0.116273935
2.69,0.114820618,,,,,22650,,,,-0.114820618
2.692,0.113412997,,,,,22651,,,,-0.113412997
2.694,0.112039213,,,,,22652,,,,-0.112039213
2.696,0.110684986,,,,,22653,,,,-0.110684986
2.698,0.109334411,,,,,22654,,,,-0.109334411
2.7,0.107970528,,,,,22655,,,,-0.107970528
2.702,0.10657592,,,,,22656,,,,-0.10657592
2.704,0.105133516,,,,,22657,,,,-0.105133516
2.706,0.1036273,,,,,22658,,,,-0.1036273
2.708,0.102042636,,,,,22659,,,,-0.102042636
2.71,0.100366469,,,,,22660,,,,-0.100366469
2.712,0.098587724,,,,,22661,,,,-0.098587724
2.714,0.096697651,,,,,22662,,,,-0.096697651
2.716,0.094689767,,,,,22663,,,,-0.094689767
2.718,0.092559744,,,,,22664,,,,-0.092559744
2.72,0.090305589,,,,,22665,,,,-0.090305589
2.722,0.087927942,,,,,22666,,,,-0.087927942
2.724,0.08543015,,,,,22667,,,,-0.08543015
2.726,0.082817919,,,,,22668,,,,-0.082817919
2.728,0.08009869,,,,,22669,,,,-0.08009869
2.73,0.077281214,,,,,22670,,,,-0.077281214
2.732,0.074375283,,,,,22671,,,,-0.074375283
2.734,0.071391539,,,,,22672,,,,-0.071391539
2.736,0.068341547,,,,,22673,,,,-0.068341547
2.738,0.065237856,,,,,22674,,,,-0.065237856
2.74,0.062093663,,,,,22675,,,,-0.062093663
2.742,0.058922455,,,,,22676,,,,-0.058922455
2.744,0.055737927,,,,,22677,,,,-0.055737927
2.746,0.052553965,,,,,22678,,,,-0.052553965
