Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds),,,
0.36,-0.076547527,,,,,,,
0.362,-0.078767435,,,,,,,
0.364,-0.080751714,,,,,,,
0.366,-0.082495786,,,,,,,
0.368,-0.083997139,,,,,,,
0.37,-0.085255204,,,,,,,
0.372,-0.086271224,,,,,,,
0.374,-0.087048109,,,,,,,
0.376,-0.087590291,,,,,,,
0.378,-0.087903578,,,,,,,
0.38,-0.087995013,,,,,,,
0.382,-0.087872739,,,,,,,
0.384,-0.087545853,,,,,,,
0.386,-0.08702428,,,,,,,
0.388,-0.08631864,,,,,,,
0.39,-0.08544015,,,,,,,
0.392,-0.084400538,,,,,,,
0.394,-0.083211983,,,,,,,
0.396,-0.081887083,,,,,,,
0.398,-0.080438826,,,,,,,
0.4,-0.078880559,,,,,,,
0.402,-0.077225952,,,,,,,
0.404,-0.075488924,,,,,,,
0.406,-0.073683547,,,,,,,
0.408,-0.071823933,,,,,,,
0.41,-0.069924097,,,,,,,
0.412,-0.067997827,,,,,,,
0.414,-0.066058555,,,,,,,
0.416,-0.064119248,,,,,,,
0.418,-0.062192312,,,,,,,
0.42,-0.060289506,,,,,,,
0.422,-0.058421867,,,,,,,
0.424,-0.056599632,,,,,,,
0.426,-0.054832168,,,,,,,
0.428,-0.053127898,,,,,,,
0.43,-0.051494247,,,,,,,
0.432,-0.04993761,,,,,,,
0.434,-0.048463341,,,,,,,
0.436,-0.04707578,,,,,,,
0.438,-0.045778298,,,,,,,
0.44,-0.044573371,,,,,,,
0.442,-0.043462647,,,,,,,
0.444,-0.042447033,,,,,,,
0.446,-0.041526759,,,,,,,
0.448,-0.040701456,,,,,,,
0.45,-0.039970233,,,,,,,
0.452,-0.039331758,,,,,,,
0.454,-0.038784355,,,,,,,
0.456,-0.038326108,,,,,,,
0.458,-0.03795497,,,,,,,
0.46,-0.037668861,,,,,,,
0.462,-0.037465755,,,,,,,
0.464,-0.037343738,,,,,,,
0.466,-0.037301042,,,,,,,
0.468,-0.037336052,,,,,,,
0.47,-0.037447302,,,,,,,
0.472,-0.037633456,,,,,,,
0.474,-0.037893281,,,,,,,
0.476,-0.038225629,,,,,,,
0.478,-0.0386294,,,,,,,
0.48,-0.039103508,,,,,,,
0.482,-0.039646833,,,,,,,
0.484,-0.040258155,,,,,,,
0.486,-0.040936092,,,,,,,
0.488,-0.041679035,,,,,,,
0.49,-0.042485099,,,,,,,
0.492,-0.043352102,,,,,,,
0.494,-0.044277587,,,,,,,
0.496,-0.045258865,,,,,,,
0.498,-0.046293103,,,,,,,
0.5,-0.047377429,,,,,,,
0.502,-0.048509044,,,,,,,
0.504,-0.049685339,,,,,,,
