Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
617298,0.000101186
617299,0.000143361
617300,0.000186561
617301,0.00023022
617302,0.000273766
617303,0.000316634
617304,0.000358273
617305,0.000398157
617306,0.000435792
617307,0.000470729
617308,0.000502567
617309,0.00053096
617310,0.000555627
617311,0.000576353
617312,0.000592992
617313,0.000605474
617314,0.000613799
617315,0.000618043
617316,0.000618349
617317,0.00061493
617318,0.000608058
617319,0.000598063
617320,0.000585319
617321,0.000570245
617322,0.000553285
617323,0.00053491
617324,0.0005156
617325,0.000495837
617326,0.000476099
617327,0.000456844
617328,0.000438506
617329,0.000421484
617330,0.000406135
617331,0.000392763
617332,0.000381618
617333,0.000372888
617334,0.000366698
617335,0.000363104
617336,0.000362097
617337,0.000363602
617338,0.000367484
617339,0.000373546
617340,0.00038154
617341,0.000391173
617342,0.000402111
617343,0.000413989
617344,0.000426416
617345,0.00043899
617346,0.000451297
617347,0.000462928
617348,0.000473481
617349,0.000482572
617350,0.000489843
617351,0.000494965
617352,0.000497651
617353,0.000497653
617354,0.000494774
617355,0.000488866
617356,0.000479839
617357,0.000467653
617358,0.000452328
617359,0.000433937
617360,0.000412608
617361,0.000388518
617362,0.000361896
617363,0.000333013
617364,0.000302181
617365,0.000269748
617366,0.000236094
617367,0.000201622
617368,0.000166754
617369,0.000131925
617370,9.76E-05
617371,6.41E-05
617372,3.21E-05
617373,1.76E-06
617374,-2.64E-05
617375,-5.20E-05
617376,-7.46E-05
617377,-9.41E-05
617378,-0.000110137
617379,-0.000122442
617380,-0.000130871
617381,-0.000135301
617382,-0.000135666
617383,-0.000131956
617384,-0.000124224
617385,-0.000112578
617386,-9.72E-05
617387,-7.83E-05
617388,-5.61E-05
617389,-3.10E-05
617390,-3.43E-06
617391,2.63E-05
617392,5.78E-05
617393,9.04E-05
617394,0.00012379
617395,0.000157399
617396,0.00019073
617397,0.000223284
617398,0.000254574
617399,0.000284136
617400,0.000311538
617401,0.000336383
617402,0.000358322
617403,0.000377056
617404,0.000392343
617405,0.000404005
617406,0.000411926
617407,0.000416057
617408,0.000416416
617409,0.000413086
617410,0.00040621
617411,0.000395992
617412,0.000382685
617413,0.000366591
617414,0.000348047
617415,0.000327424
617416,0.00030511
617417,0.000281511
617418,0.000257034
617419,0.000232082
617420,0.000207045
617421,0.000182293
617422,0.000158168
617423,0.000134978
617424,0.000112992
617425,9.24E-05
617426,7.35E-05
617427,5.63E-05
617428,4.09E-05
617429,2.73E-05
617430,1.55E-05
617431,5.56E-06
617432,-2.78E-06
617433,-9.62E-06
617434,-1.51E-05
617435,-1.95E-05
617436,-2.30E-05
617437,-2.58E-05
617438,-2.82E-05
617439,-3.04E-05
617440,-3.27E-05
617441,-3.52E-05
617442,-3.81E-05
617443,-4.17E-05
617444,-4.60E-05
617445,-5.13E-05
617446,-5.75E-05
617447,-6.47E-05
617448,-7.28E-05
617449,-8.19E-05
617450,-9.18E-05
617451,-0.000102401
617452,-0.000113511
617453,-0.000124914
617454,-0.000136355
617455,-0.000147551
617456,-0.000158192
617457,-0.000167946
617458,-0.000176469
617459,-0.000183407
617460,-0.000188402
617461,-0.000191104
617462,-0.000191173
617463,-0.00018829
617464,-0.000182161
617465,-0.000172523
617466,-0.000159156
617467,-0.000141884
617468,-0.000120582
