Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz]
9233,-0.03070557970808835
9234,-0.035991844418096074
9235,-0.041000582949083576
9236,-0.04571412915366666
9237,-0.05011589312696115
9238,-0.05419054738428758
9239,-0.05792420226231475
9240,-0.06130456364416624
9241,-0.06432106795475585
9242,-0.06696499156671244
9243,-0.0692295340438867
9244,-0.07110987678080118
9245,-0.07260322034194808
9246,-0.07370880497178237
9247,-0.07442791921582233
9248,-0.07476390134630181
9249,-0.07472213739756844
9250,-0.07431005824980745
9251,-0.07353713662612849
9252,-0.072414883428815
9253,-0.07095684178178017
9254,-0.069178576487898
9255,-0.06709765621536143
9256,-0.0647336254789607
9257,-0.06210796337040771
9258,-0.059244026055320254
9259,-0.05616697025503047
9260,-0.05290365513782102
9261,-0.04948252018097682
9262,-0.045933436699160966
9263,-0.04228753095871988
9264,-0.038576977141318185
9265,-0.034834758940505584
9266,-0.031094399398521207
9267,-0.027389659783057806
9268,-0.02375420975761434
9269,-0.020221272588980176
9270,-0.016823250443474685
9271,-0.01359133581071378
9272,-0.01055511570521337
9273,-0.007742175557388771
9274,-0.005177709713565879
9275,-0.002884145357046723
9276,-0.0008807865996316271
9277,0.0008165143501902093
9278,0.002195651569172105
9279,0.003248517352889165
9280,0.003971203313168343
9281,0.004364142477450084
9282,0.004432185165887909
9283,0.004184602910313449
9284,0.003635016537569419
9285,0.0028012466680773923
9286,0.0017050871425057547
9287,0.0003720040676984896
9288,-0.0011692348781328667
9289,-0.0028869944920366826
9290,-0.004747261411927424
9291,-0.006714179223852354
9292,-0.008750618401479976
9293,-0.01081876921257514
9294,-0.012880745255061419
9295,-0.01489918525568884
9296,-0.016837841022930025
9297,-0.018662139866682588
9298,-0.020339710351430937
9299,-0.02184086094447711
9300,-0.023139001950972377
9301,-0.024211002109086447
9302,-0.02503747243694071
9303,-0.025602971509438535
9304,-0.025896128382383046
9305,-0.02590968180448684
9306,-0.02564043692604949
9307,-0.025089143142183714
9308,-0.02426029882286402
9309,-0.02316189045531184
9310,-0.02180507522958166
9311,-0.020203817428392085
9312,-0.01837449014682231
9313,-0.016335454760189737
9314,-0.01410663105270255
9315,-0.011709070944044619
9316,-0.009164548250487287
9317,-0.006495175830847803
9318,-0.003723059799437038
9319,-0.0008699983452640815
9320,0.0020427697560673787
9321,0.004994764425598472
9322,0.007966411322446257
9323,0.010939138760970791
9324,0.013895428324696465
9325,0.01681882428719746
9326,0.019693907986823696
9327,0.022506244210179483
9328,0.02524230738526315
9329,0.027889395835905842
9330,0.030435542394571843
9331,0.03286942926540411
9332,0.03518031420457596
9333,0.03735797397841673
9334,0.03939266985870865
9335,0.04127513869996721
9336,0.042996611837975054
9337,0.0445488625581021
9338,0.04592428125204018
9339,0.04711597580870332
9340,0.04811789349448896
9341,0.048924959666475636
9342,0.049533228042174006
9343,0.049940036780076594
9344,0.05014416427106209
9345,0.05014597834550334
9346,0.04994757254356582
9347,0.04955288306687027
9348,0.048967779968384334
9349,0.04820012615884373
9350,0.047259798172286246
9351,0.046158663579625406
9352,0.0449105115163809
9353,0.0435309348345405
9354,0.04203716466561233
9355,0.04044786053075977
9356,0.03878286145429472
9357,0.03706290569392318
9358,0.035309328489665885
9359,0.033543748430877846
9360,0.03178775348903431
9361,0.030062597408087706
9362,0.028388916015349864
9363,0.026786471213926268
9364,0.025273928119939008
9365,0.02386866826328752
9366,0.02258663926624975
9367,0.02144223923128739
9368,0.020448232444235496
9369,0.01961569208239044
9370,0.018953965423154504
9371,0.01847065741872231
9372,0.01817162914857142
9373,0.01806100830165056
9374,0.018141209321562244
9375,0.018412961191983362
9376,0.018875341194878242
9377,0.01952581348206882
9378,0.020360271950053084
9379,0.021373087549423176
9380,0.02255716067784393
9381,0.023903979702643453
9382,0.025403686970276642
9383,0.02704515387609868
9384,0.02881606667757009
9385,0.03070302475689657
9386,0.03269165295533894
9387,0.034766729282047625
9388,0.036912328595689506
9389,0.03911198180381123
9390,0.04134884902846258
9391,0.04360590442209229
9392,0.04586613001904609
9393,0.048112716000625194
9394,0.0503292647991607
9395,0.052499996503720274
9396,0.054609953126288566
9397,0.056645199458617526
9398,0.05859301835703737
9399,0.06044209810473369
9400,0.06218270887147939
9401,0.06380686431634162
9402,0.06530846338719781
9403,0.06668340670968378
9404,0.06792968179608247
9405,0.06904741164606304
9406,0.07003886214141306
9407,0.07090840496993336
9408,0.07166243458954609
9409,0.07230923973527698
9410,0.07285883185509898
9411,0.07332273440582843
9412,0.07371373811979354
9413,0.07404562825493549
9414,0.07433289051313624
9415,0.07459040271594872
9416,0.07483311942546933
9417,0.07507575655006209
9418,0.07533248272133655
9419,0.07561662397809818
9420,0.07594038805408615
9421,0.07631461430092644
9422,0.07674855496259758
9423,0.07724969313968254
9424,0.07782360230517862
9425,0.07847385158575335
9426,0.07920196010575747
9427,0.08000740243507784
9428,0.08088766561616359
9429,0.0818383565318048
9430,0.0828533567241061
9431,0.08392502029737518
9432,0.0850444091953774
9433,0.08620155887570013
9434,0.08738576626382899
9435,0.08858589100077582
9436,0.08979066052284437
9437,0.09098896947482599
9438,0.09217016433200456
9439,0.09332430482329779
9440,0.09444239474012593
9441,0.09551657593924665
9442,0.09654028077315412
9443,0.09750833979185895
9444,0.09841704334999346
9445,0.09926415768085814
9446,0.1000488979197454
9447,0.10077186225238222
9448,0.10143493265851924
9449,0.10204114857162873
9450,0.10259456021554716
9451,0.10310006841925647
9452,0.10356325732348629
9453,0.10399022558383936
9454,0.10438742057273304
9455,0.1047614789255531
9456,0.10511907578152396
9457,0.10546678430208309
9458,0.1058109464376638
9459,0.1061575553786448
9460,0.10651214967942763
9461,0.10687971876468794
9462,0.10726461944012394
9463,0.10767050303085368
9464,0.10810025269669564
9465,0.10855593024784582
9466,0.10903873143951309
9467,0.10954894832039465
9468,0.11008593679673553
9469,0.1106480872189651
9470,0.11123279560610082
9471,0.11183643319962232
9472,0.112454312419794
9473,0.11308064792795257
9474,0.1137085123272466
9475,0.11432978712771927
9476,0.11493511107730174
9477,0.11551382979742808
9478,0.11605395263358897
9479,0.11654212441967286
9480,0.11696362117706512
9481,0.11730237939133623
9482,0.11754106822578209
9483,0.1176612127243417
9484,0.11764337379773863
9485,0.11746738784667686
9486,0.11711266562110031
9487,0.11655854668509578
9488,0.11578470290029694
9489,0.11477158181786713
9490,0.11350087889622618
9491,0.11195602611332206
9492,0.11012268382529837
9493,0.10798922257688978
9494,0.10554718187337886
