Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz],,,,Time (Seconds)
0.358,-0.02030884,,,,6.7
0.36,-0.019576147,,,,6.702
0.362,-0.019082557,,,,6.704
0.364,-0.018782503,,,,6.706
0.366,-0.018652141,,,,6.708
0.368,-0.018642148,,,,6.71
0.37,-0.01865589,,,,6.712
0.372,-0.018539036,,,,6.714
0.374,-0.018102406,,,,6.716
0.376,-0.017177456,,,,6.718
0.378,-0.015644535,,,,6.72
0.38,-0.013421623,,,,6.722
0.382,-0.010461277,,,,6.724
0.384,-0.006766064,,,,6.726
0.386,-0.002374535,,,,6.728
0.388,0.002691688,,,,6.73
0.39,0.008460975,,,,6.732
0.392,0.014989321,,,,6.734
0.394,0.022307802,,,,6.736
0.396,0.030385697,,,,6.738
0.398,0.039108396,,,,6.74
0.4,0.048242261,,,,6.742
0.402,0.057429406,,,,6.744
0.404,0.066269648,,,,6.746
0.406,0.074437551,,,,6.748
0.408,0.081736623,,,,6.75
0.41,0.088080969,,,,6.752
0.412,0.093454215,,,,6.754
0.414,0.097862494,,,,6.756
0.416,0.101288854,,,,6.758
0.418,0.103687257,,,,6.76
0.42,0.105032087,,,,6.762
0.422,0.105369616,,,,6.764
0.424,0.104812491,,,,6.766
0.426,0.103503913,,,,6.768
0.428,0.101615814,,,,6.77
0.43,0.099363498,,,,6.772
0.432,0.096968945,,,,6.774
0.434,0.09458838,,,,6.776
0.436,0.09229327,,,,6.778
0.438,0.090113775,,,,6.78
0.44,0.088062116,,,,6.782
0.442,0.086120249,,,,6.784
0.444,0.084231491,,,,6.786
0.446,0.082292393,,,,6.788
0.448,0.080175818,,,,6.79
0.45,0.077825359,,,,6.792
0.452,0.075342433,,,,6.794
0.454,0.07296828,,,,6.796
0.456,0.070977472,,,,6.798
0.458,0.069566801,,,,6.8
0.46,0.068804024,,,,6.802
0.462,0.068642029,,,,6.804
0.464,0.068955709,,,,6.806
0.466,0.069571206,,,,6.808
0.468,0.070297743,,,,6.81
0.47,0.070964661,,,,6.812
0.472,0.071436666,,,,6.814
0.474,0.071602997,,,,6.816
0.476,0.071368696,,,,6.818
0.478,0.070661029,,,,6.82
0.48,0.06944536,,,,6.822
0.482,0.067729781,,,,6.824
0.484,0.065545762,,,,6.826
0.486,0.062939006,,,,6.828
0.488,0.059975021,,,,6.83
0.49,0.056711618,,,,6.832
0.492,0.053160209,,,,6.834
0.494,0.049290668,,,,6.836
0.496,0.045062752,,,,6.838
0.498,0.040460601,,,,6.84
0.5,0.035517414,,,,6.842
0.502,0.030296842,,,,6.844
0.504,0.02485346,,,,6.846
0.506,0.019228053,,,,6.848
0.508,0.013471023,,,,6.85
0.51,0.007672065,,,,6.852
0.512,0.00198729,,,,6.854
0.514,-0.003372278,,,,6.856
0.516,-0.008197161,,,,6.858
0.518,-0.012336004,,,,6.86
0.52,-0.015736607,,,,6.862
0.522,-0.01848472,,,,6.864
0.524,-0.020816377,,,,6.866
0.526,-0.023054659,,,,6.868
0.528,-0.025487128,,,,6.87
0.53,-0.028272456,,,,6.872
